Name
"K J SOMAIYA COLLEGE OF ARTS & COMMERCE, MUMBAI - [KJSAC]"
"M.O.P. VAISHNAV COLLEGE FOR WOMEN, CHENNAI"
"MAHARANI LAKSHMI AMMANNI COLLEGE FOR WOMEN, BANGALORE - [MLACW]"
"NARSEE MONJEE COLLEGE OF COMMERCE AND ECONOMICS, MUMBAI"
"SESHADRIPURAM COLLEGE, BANGALORE"
"SHRI RAM COLLEGE OF COMMERCE, NEW DELHI - [SRCC]"
"ST JOSEPH'S COLLEGE OF COMMERCE, BANGALORE - [SJCC]"
"ST. ALBERT'S COLLEGE, ERNAKULAM"
"SYMBIOSIS COLLEGE OF ARTS AND COMMERCE, PUNE"
"CHANDIGARH BUSINESS SCHOOL OF ADMINISTRATION, MOHALI - [CBSA]"
"DAV COLLEGE, CHANDIGARH - [DAVC]"
"GLS INSTITUTE OF COMPUTER APPLICATION, AHMEDABAD"
"GRAPHIC ERA UNIVERSITY, DEHRADUN - [GEU]"
"HARCOURT BUTLER TECHNOLOGICAL UNIVERSITY, KANPUR - [HBTU]"
"HARYANA COLLEGE OF TECHNOLOGY AND MANAGEMENT, KAITHAL"
"JAWAHARLAL NEHRU UNIVERSITY, NEW DELHI - [JNU]"
"JSS ACADEMY OF TECHNICAL EDUCATION, NOIDA - [JSSATE]"
"MADHAV UNIVERSITY, SIROHI - [MU]"
"MOTILAL NEHRU NATIONAL INSTITUTE OF TECHNOLOGY, ALLAHABAD - [MNNIT]"
"NATIONAL INSTITUTE OF MANAGEMENT, MUMBAI - [NIM]"
"NATIONAL INSTITUTE OF TECHNOLOGY, THIRUCHIRAPALLI - [NIT]"
"NATIONAL INSTITUTE OF TECHNOLOGY, WARANGAL - [NIT]"
"NATIONAL INSTITUTE OF TECHNOLOGY, CALICUT - [NITC]"
"NATIONAL INSTITUTE OF TECHNOLOGY, SURATHKAL - [NITK]"
"P.S.G COLLEGE OF TECHNOLOGY, COIMBATORE - [PSGCT]"
"PCTE GROUP OF INSTITUTES, LUDHIANA"
"PONDICHERRY UNIVERSITY, PONDICHERRY - [PU]"
"SRM UNIVERSITY KATTANKULATHUR, CHENNAI - [SRM]"
"VELLORE INSTITUTE OF TECHNOLOGY, VELLORE - [VIT UNIVERSITY]"
"XAVIER'S INSTITUTE OF COMPUTER APPLICATION, AHMEDABAD"
"ACHARYA BANGALORE B-SCHOOL, BANGALORE - [ABBS]"
"ANDHRA LOYOLA COLLEGE, VIJAYAWADA - [ALC]"
"APTECH AVIATION AND HOSPITALITY ACADEMY, BARODA - [AHA]"
"DHANALAKSHMI SRINIVASAN COLLEGE OF ARTS AND SCIENCE FOR WOMEN, PERAMBALUR - [DSCAS]"
