2018/08/23 23:10:17 [error] 13901#13901: *13917 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398?event=1"
2018/08/23 23:11:57 [error] 13901#13901: *13945 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398?event=1"
2018/08/23 23:11:58 [error] 13901#13901: *13947 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398?event=1"
2018/08/23 23:15:46 [error] 13901#13901: *13993 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398?event=1"
2018/08/23 23:15:47 [error] 13901#13901: *13993 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398?event=1"
2018/08/23 23:16:10 [error] 13901#13901: *14013 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398"
2018/08/23 23:16:11 [error] 13901#13901: *14015 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398"
2018/08/23 23:17:30 [error] 13901#13901: *14079 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398"
2018/08/23 23:17:55 [error] 13901#13901: *14097 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398"
2018/08/23 23:17:56 [error] 13901#13901: *14100 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398"
2018/08/23 23:34:18 [error] 13901#13901: *14213 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/"
